Gene,logFC,padj,p_value
MINDY3,4.3391801,NA,5.42E-04
CUBN,-0.7790612,NA,4.20E-01
TRDMT1,-1.4211199,NA,3.47E-01
VIM,1.7766546,NA,3.16E-01
CACNB2,0.3935657,NA,8.05E-01
PLXDC2,-0.2145885,NA,9.02E-01
NEBL,3.1966894,NA,4.08E-02
MLLT10,-2.7523163,NA,7.35E-02
DNAJC1,-0.2431999,NA,8.99E-01
LOC105376447,-0.4549417,NA,8.01E-01
SPAG6,0.4114767,NA,8.34E-01
PIP4K2A,0.7783342,NA,6.01E-01
C10orf67,0.2563913,NA,8.61E-01
KIAA1217,-1.7885555,NA,1.49E-01
ARHGAP21,-0.0800823,NA,9.60E-01
GPR158,-0.5748954,NA,6.90E-01
MYO3A,0.5996082,NA,7.40E-01
GAD2,0.8493618,NA,5.74E-01
ABI1,-0.2730896,NA,8.92E-01
ODAD2,0.8216288,NA,6.72E-01
WAC,1.5071076,NA,3.78E-01
SVIL,-0.0740264,NA,9.58E-01
MAP3K8,-0.4542399,NA,8.15E-01
ITGB1,3.4042578,NA,2.20E-02
ANKRD30A,-0.8413366,NA,5.61E-01
ZNF248,-0.3699074,NA,7.62E-01
ZNF25,1.187297,NA,4.67E-01
LINC00999,-1.1868601,NA,3.88E-01
LOC105378267,-1.4456891,NA,3.89E-01
ZNF33B,0.4948781,NA,7.19E-01
LOC283028,1.2143214,NA,5.41E-01
BMS1,-1.0599653,NA,5.17E-01
RET,1.8696564,NA,1.82E-01
RASGEF1A,0.850197,NA,6.43E-01
ZNF239,-0.5806279,NA,7.38E-01
ALOX5,-0.7100594,NA,6.83E-01
MARCHF8,-0.0091917,NA,9.96E-01
ZFAND4,-0.0469606,NA,9.81E-01
WASHC2C,-2.0604234,NA,1.74E-01
AGAP4,-0.5097657,NA,7.33E-01
PARGP1-AGAP4,-0.9923688,NA,4.68E-01
NCOA4,4.1350318,NA,4.17E-03
ANTXRL,-1.1918374,NA,4.31E-01
LOC107984026,0.3707118,NA,7.56E-01
ANXA8L1,-0.8553512,NA,6.12E-01
LINC00842,-0.7515506,NA,6.72E-01
LOC107987152,-0.1217964,NA,9.13E-01
NPY4R,0.0424126,NA,9.73E-01
GPRIN2,0.6739768,NA,4.76E-01
SYT15,0.4182278,NA,7.84E-01
ANXA8,-0.518087,NA,6.39E-01
SYT15B,0.2629379,NA,8.65E-01
NPY4R2,0.0015346,NA,9.99E-01
FRMPD2,-0.2754191,NA,8.33E-01
ARHGAP22,-0.7408945,NA,5.83E-01
C10orf71,-0.2457349,NA,8.57E-01
ERCC6,-0.8483623,NA,6.22E-01
CHAT,1.2166658,NA,5.00E-01
OGDHL,0.4392367,NA,7.26E-01
TIMM23B-AGAP6,-0.4303142,NA,7.89E-01
AGAP6,-2.2100519,NA,1.30E-01
WASHC2A,0.1373295,NA,9.08E-01
PRKG1,1.0022242,NA,5.85E-01
LOC105378308,0.3888129,NA,7.94E-01
BICC1,-1.2646742,NA,2.75E-01
ANK3,-0.6568934,NA,5.32E-01
LOC107987153,-1.1068376,NA,5.45E-01
RHOBTB1,0.298806,NA,8.43E-01
ARID5B,0.1270265,NA,9.43E-01
RTKN2,-0.9518398,NA,5.86E-01
JMJD1C,0.5734526,NA,6.76E-01
REEP3,-0.5888686,NA,6.62E-01
CTNNA3,1.0940744,NA,5.25E-01
LRRTM3,2.2329767,NA,2.41E-01
MYPN,-1.5798926,NA,3.38E-01
RUFY2,1.0706706,NA,5.44E-01
SLC25A16,0.0949171,NA,9.53E-01
TET1,1.3553925,NA,4.41E-01
CCAR1,2.304565,NA,1.19E-01
DDX50,-0.8398727,NA,5.38E-01
DDX21,2.4023119,NA,2.02E-01
HK1,1.0774101,NA,5.17E-01
TSPAN15,0.4412487,NA,7.36E-01
COL13A1,0.1964923,NA,8.96E-01
LOC107984242,0.618888,NA,6.89E-01
EIF4EBP2,0.2535652,NA,8.71E-01
PALD1,1.0327419,NA,3.01E-01
ADAMTS14,0.0936019,NA,9.47E-01
TBATA,-0.1234193,NA,9.31E-01
SGPL1,1.3858792,NA,3.54E-01
UNC5B,0.6359954,NA,4.99E-01
LOC112268061,0.2611757,NA,8.53E-01
SLC29A3,0.3561494,NA,8.56E-01
C10orf105,0.3749122,NA,8.07E-01
VSIR,0.795399,NA,5.81E-01
CHST3,2.3594245,NA,9.52E-02
SPOCK2,1.4958495,NA,2.18E-01
DNAJB12,-0.7917083,NA,6.90E-01
MCU,0.7526033,NA,6.42E-01
ANXA7,-0.9323928,NA,5.93E-01
USP54,-0.5353497,NA,6.56E-01
SYNPO2L,-0.9715279,NA,5.42E-01
SEC24C,-0.7718416,NA,5.95E-01
CAMK2G,-0.4494016,NA,7.67E-01
VCL,1.0580304,NA,2.94E-01
KAT6B,0.6986309,NA,6.24E-01
SAMD8,-0.2369233,NA,8.72E-01
ZNF503,-0.1572544,NA,9.25E-01
POLR3A,0.4420235,NA,8.20E-01
RPS24,-1.5186399,NA,3.26E-01
LOC105378374,-3.2076512,NA,1.96E-02
LINC00856,-1.1745226,NA,5.57E-01
ZMIZ1,0.0480758,NA,9.66E-01
NUTM2B,-0.7551968,NA,6.41E-01
NUTM2E,-0.2241799,NA,8.71E-01
ANXA11,1.235297,NA,3.91E-01
TSPAN14,0.0805711,NA,9.49E-01
CDHR1,-1.0347274,NA,3.39E-01
CCSER2,-3.5481264,NA,2.00E-02
GRID1,0.6560569,NA,6.69E-01
WAPL,-0.8202221,NA,5.82E-01
OPN4,-1.7866309,NA,2.91E-01
MMRN2,-0.6271849,NA,6.76E-01
AGAP11,0.287638,NA,8.64E-01
GLUD1,1.0172949,NA,5.29E-01
NUTM2A,-0.2239754,NA,8.43E-01
NUTM2D,0.4462416,NA,6.76E-01
LOC112268063,0.6320522,NA,7.35E-01
ATAD1,0.7808099,NA,6.01E-01
LOC105378415,-1.1686561,NA,3.70E-01
SLC16A12,0.4050945,NA,8.18E-01
PANK1,0.3972104,NA,8.20E-01
PANK1-AS1,-1.6184291,NA,3.82E-01
PCGF5,0.3917348,NA,8.18E-01
CPEB3,-1.8960471,NA,2.17E-01
IDE,-1.3698665,NA,4.49E-01
KIF11,-0.4085771,NA,8.31E-01
MYOF,-0.8166215,NA,5.32E-01
PLCE1,-0.6321054,NA,6.05E-01
SORBS1,-0.5907891,NA,6.68E-01
ALDH18A1,-1.8974849,NA,1.68E-01
ENTPD1,-0.4128882,NA,8.03E-01
CC2D2B,-1.0586635,NA,4.78E-01
ZNF518A,-1.7694454,NA,2.76E-01
TLL2,2.1657759,NA,2.34E-01
TM9SF3,4.8866586,NA,4.36E-04
LCOR,-0.1610035,NA,9.06E-01
LOC105378444,-1.4304999,NA,3.36E-01
RRP12,2.5781335,NA,1.13E-01
HOGA1,4.2105972,NA,8.88E-03
ZFYVE27,-0.733498,NA,6.60E-01
GOLGA7B,-0.8339934,NA,5.60E-01
R3HCC1L,-2.0828022,NA,2.29E-01
LOXL4,-0.1470237,NA,9.25E-01
HPS1,0.1039506,NA,9.35E-01
HPSE2,-0.2227505,NA,8.39E-01
ENTPD7,-1.6716216,NA,2.74E-01
ABCC2,-0.1835239,NA,9.18E-01
DNMBP,0.1026852,NA,9.46E-01
PKD2L1,0.2382007,NA,8.86E-01
SCD,3.4733628,NA,1.06E-03
SEC31B,-1.9188654,NA,2.11E-01
HIF1AN,0.7008183,NA,5.88E-01
PAX2,-1.4231866,NA,2.35E-01
SLF2,-0.5056552,NA,7.77E-01
SEMA4G,1.2015961,NA,4.04E-01
PDZD7,-1.1566573,NA,4.62E-01
SFXN3,0.6974217,NA,7.02E-01
TLX1,0.2675525,NA,8.79E-01
BTRC,-1.1332208,NA,5.58E-01
FBXW4,-0.3360067,NA,8.55E-01
ARMH3,-0.5208529,NA,6.98E-01
LDB1,1.8938986,NA,3.02E-01
PPRC1,-0.7096435,NA,5.99E-01
GBF1,-0.0530854,NA,9.67E-01
NFKB2,-0.9987057,NA,5.58E-01
PSD,-1.4480586,NA,1.66E-01
MFSD13A,-0.801751,NA,5.78E-01
ACTR1A,0.7426598,NA,6.48E-01
SUFU,1.064118,NA,5.15E-01
SFXN2,-0.4605718,NA,7.59E-01
CNNM2,-0.2670298,NA,8.10E-01
NT5C2,0.5577787,NA,6.90E-01
PDCD11,0.7776598,NA,5.16E-01
CALHM1,-1.6580143,NA,3.31E-01
NEURL1,0.2260723,NA,8.73E-01
SH3PXD2A,-1.0476171,NA,4.02E-01
STN1,0.6474241,NA,7.09E-01
SLK,0.3789887,NA,8.10E-01
CFAP43,-0.2232423,NA,9.02E-01
GSTO2,0.206044,NA,8.85E-01
ITPRIP,0.0295771,NA,9.83E-01
LOC105378464,2.3009662,NA,2.58E-01
XPNPEP1,1.6651876,NA,2.93E-01
RBM20,1.092286,NA,2.77E-01
TCF7L2,-0.3421073,NA,8.01E-01
LOC107984269,-0.6500923,NA,6.84E-01
NRAP,-0.8937063,NA,4.23E-01
CASP7,0.2981791,NA,8.72E-01
NHLRC2,-0.23488,NA,8.80E-01
CCDC186,-3.936714,NA,1.74E-02
VWA2,-1.2963929,NA,4.00E-01
AFAP1L2,0.7106235,NA,6.66E-01
ABLIM1,-0.7465595,NA,4.64E-01
ATRNL1,-0.1700793,NA,8.97E-01
GFRA1,-0.6754041,NA,4.98E-01
HSPA12A,-0.8853391,NA,5.60E-01
SHTN1,-0.2244184,NA,8.89E-01
PDZD8,0.2225647,NA,8.98E-01
EMX2OS,0.1891092,NA,9.16E-01
FAM204A,-0.111706,NA,9.35E-01
CACUL1,0.3819599,NA,8.16E-01
EIF3A,1.1955635,NA,4.86E-01
SFXN4,-1.0790635,NA,4.83E-01
GRK5,-0.1937329,NA,8.30E-01
SEC23IP,0.0890213,NA,9.47E-01
PLPP4,-1.1108729,NA,5.18E-01
LINC02930,0.5269105,NA,7.26E-01
LOC105378521,-0.7332005,NA,7.12E-01
FGFR2,-1.4762516,NA,2.08E-01
ATE1,-0.1125695,NA,9.47E-01
TACC2,-1.1987231,NA,3.77E-01
BTBD16,-1.0013137,NA,5.75E-01
PLEKHA1,-0.553887,NA,6.42E-01
DMBT1L1,-1.1000836,NA,5.16E-01
BUB3,-2.1127477,NA,2.41E-01
GPR26,1.1388113,NA,4.39E-01
LOC105378532,-1.6046046,NA,3.24E-01
CPXM2,-0.5155258,NA,7.34E-01
CHST15,0.4308154,NA,7.36E-01
LHPP,1.3844243,NA,3.58E-01
LOC105378539,0.8204284,NA,6.73E-01
CTBP2,-1.0655081,NA,4.35E-01
EDRF1,-2.413273,NA,1.25E-01
UROS,-2.094462,NA,1.52E-01
FANK1,1.0743985,NA,4.92E-01
ADAM12,-0.7926097,NA,6.44E-01
C10orf90,-0.5763499,NA,7.43E-01
INSYN2A,-0.5234717,NA,6.68E-01
MKI67,-0.7776788,NA,6.28E-01
LOC105378560,-0.0709501,NA,9.57E-01
LINC02666,-0.2063353,NA,8.80E-01
EBF3,0.3263455,NA,8.52E-01
EBF3-AS1,-2.6024996,NA,6.96E-02
LINC02646,-0.4013115,NA,8.18E-01
PPP2R2D,0.1642699,NA,9.01E-01
JAKMIP3,-1.2314062,NA,2.49E-01
DPYSL4,-0.287337,NA,8.64E-01
STK32C,0.0172182,NA,9.90E-01
LRRC27,-1.7769502,NA,1.05E-01
PWWP2B,1.209941,NA,5.25E-01
LOC107984282,0.6135449,NA,5.93E-01
INPP5A,-0.8166189,NA,4.31E-01
LOC112268067,-0.0798031,NA,9.67E-01
ADAM8,1.2178234,NA,2.91E-01
TUBGCP2,-0.5579018,NA,6.49E-01
CALY,-0.3612067,NA,8.16E-01
SCART1,-1.461174,NA,2.91E-01
LINC01001,-0.1761148,NA,8.91E-01
NLRP6,0.2923266,NA,8.70E-01
PGGHG,0.2096866,NA,8.94E-01
B4GALNT4,-0.8576849,NA,5.52E-01
PKP3,-0.2028688,NA,8.63E-01
SIGIRR,0.4904013,NA,7.68E-01
ANO9,-0.4848228,NA,8.06E-01
LOC105376506,-0.6470036,NA,6.55E-01
LRRC56,-1.1726003,NA,4.21E-01
LMNTD2,3.8053968,NA,1.66E-02
PHRF1,0.9844891,NA,4.80E-01
CDHR5,0.8381479,NA,6.44E-01
TMEM80,-0.6281084,NA,7.71E-01
PIDD1,1.7685556,NA,2.97E-01
RPLP2,2.2722332,NA,2.36E-01
CRACR2B,-0.6239312,NA,7.00E-01
CHID1,-0.7629085,NA,4.45E-01
AP2A2,-0.3858675,NA,8.10E-01
LOC105376512,2.381664,NA,2.54E-01
BRSK2,1.4266055,NA,2.56E-01
DUSP8,0.1869744,NA,9.20E-01
IFITM10,0.3139655,NA,8.30E-01
LSP1,1.9605448,NA,2.38E-01
TNNT3,-0.8080874,NA,6.08E-01
H19,0.6641994,NA,7.45E-01
IGF2,-0.2659628,NA,7.87E-01
INS-IGF2,0.0197913,NA,9.86E-01
C11orf21,2.2032071,NA,1.48E-01
TSPAN32,0.8981172,NA,6.06E-01
TSSC4,-1.1197617,NA,5.13E-01
TRPM5,-0.1195241,NA,9.21E-01
SLC22A18AS,-0.9830124,NA,4.55E-01
NAP1L4,1.5768506,NA,3.33E-01
CARS1,-1.7980756,NA,2.89E-01
LOC107987158,-0.3113071,NA,8.04E-01
ART1,0.8046522,NA,6.61E-01
CHRNA10,0.4702891,NA,7.47E-01
NUP98,-0.749512,NA,5.69E-01
PGAP2,0.5603738,NA,7.05E-01
STIM1,0.948102,NA,5.39E-01
UBQLN3,-0.7930558,NA,6.55E-01
FHIP1B,-0.1978428,NA,9.12E-01
CCKBR,-0.7487651,NA,6.39E-01
APBB1,-2.8305821,NA,6.00E-02
TRIM3,-2.5734099,NA,3.22E-02
TPP1,1.6223975,NA,2.57E-01
DCHS1,1.1149958,NA,3.30E-01
SYT9,-0.3672971,NA,8.30E-01
PPFIBP2,1.1113309,NA,3.85E-01
TUB,2.0840312,NA,1.39E-01
RIC3,0.25299,NA,8.73E-01
STK33,-1.2479465,NA,4.07E-01
TRIM66,-0.8146304,NA,5.29E-01
DENND2B,-0.0074398,NA,9.95E-01
SCUBE2,-1.9858736,NA,2.20E-01
IPO7,-0.5753496,NA,7.18E-01
WEE1,-1.8208449,NA,2.75E-01
SWAP70,0.5473583,NA,7.52E-01
SBF2,-1.0792395,NA,5.07E-01
AMPD3,-0.4881463,NA,7.69E-01
IRAG1,-0.0654425,NA,9.57E-01
CTR9,-1.8540771,NA,3.08E-01
EIF4G2,3.3469985,NA,1.19E-01
GALNT18,1.0931871,NA,5.30E-01
USP47,-0.6714737,NA,6.33E-01
MICAL2,0.3443623,NA,7.57E-01
PARVA,0.3662927,NA,8.10E-01
TEAD1,-1.0350614,NA,5.28E-01
BMAL1,-0.705229,NA,6.81E-01
PDE3B,0.0640986,NA,9.65E-01
LINC02751,1.4143338,NA,4.21E-01
SOX6,0.5463184,NA,6.80E-01
C11orf58,1.4672058,NA,3.80E-01
PLEKHA7,-1.2038842,NA,2.97E-01
NCR3LG1,0.1533037,NA,9.35E-01
ABCC8,-0.354438,NA,7.44E-01
USH1C,0.8422059,NA,5.13E-01
KCNC1,1.7496264,NA,3.79E-02
IGSF22,0.9855996,NA,5.64E-01
PTPN5,-0.5982456,NA,6.67E-01
ANO3,0.0312189,NA,9.85E-01
BBOX1,0.1811725,NA,9.25E-01
BDNF,-0.6288591,NA,7.53E-01
DCDC1,-0.4497967,NA,7.66E-01
PAX6,-1.5888565,NA,3.51E-01
EIF3M,-0.7464276,NA,6.07E-01
QSER1,-0.2863081,NA,8.35E-01
TCP11L1,0.0949206,NA,9.52E-01
HIPK3,2.414832,NA,7.34E-02
LOC105376617,-1.7281981,NA,3.02E-01
CD59,2.1297985,NA,1.64E-01
LINC02721,-0.0996965,NA,9.57E-01
CAPRIN1,0.1654001,NA,9.23E-01
NAT10,-1.3321501,NA,4.62E-01
ABTB2,1.2189546,NA,3.46E-01
TRIM44,-0.8610875,NA,4.54E-01
API5,0.6075221,NA,7.42E-01
TTC17,-0.6470759,NA,6.78E-01
ACCS,0.3297052,NA,8.31E-01
EXT2,-0.6951458,NA,6.67E-01
ALX4,0.4483832,NA,7.80E-01
CD82,-0.5976293,NA,7.14E-01
TP53I11,0.2855312,NA,8.48E-01
PRDM11,0.952924,NA,4.89E-01
SYT13,0.8877763,NA,5.40E-01
CHST1,-0.6235764,NA,6.07E-01
SLC35C1,1.0150586,NA,5.57E-01
MAPK8IP1,0.8411458,NA,5.48E-01
PEX16,-3.8112722,NA,1.11E-02
LARGE2,-0.09554,NA,9.55E-01
PHF21A,2.5816606,NA,8.79E-02
DGKZ,0.600902,NA,6.33E-01
AMBRA1,0.7119105,NA,6.75E-01
ATG13,0.4041997,NA,7.48E-01
CKAP5,0.3563136,NA,8.42E-01
ARFGAP2,-0.08838,NA,9.43E-01
MADD,-0.0467275,NA,9.71E-01
MYBPC3,0.7627911,NA,5.21E-01
SPI1,1.8964071,NA,2.44E-01
CELF1,0.5048866,NA,7.22E-01
NUP160,0.6859462,NA,6.49E-01
PTPRJ,1.2128613,NA,3.68E-01
TNKS1BP1,1.3448617,NA,2.90E-01
SSRP1,1.0648073,NA,4.58E-01
P2RX3,-2.0899074,NA,1.71E-01
LOC105369312,1.1881024,NA,3.75E-01
SLC43A3,-0.3085563,NA,8.60E-01
SLC43A1,1.102424,NA,3.74E-01
TMX2-CTNND1,-2.2072816,NA,1.36E-01
BTBD18,-1.4263482,NA,3.85E-01
CTNND1,-2.2175187,NA,1.33E-01
LPXN,-0.4140166,NA,8.25E-01
LOC105369315,0.2093943,NA,9.12E-01
DTX4,0.9372599,NA,4.57E-01
PATL1,-0.2200013,NA,8.77E-01
STX3,-0.9682445,NA,5.23E-01
MS4A4E,0.1505985,NA,9.24E-01
MS4A8,-1.0541221,NA,5.95E-01
MS4A15,0.0469364,NA,9.77E-01
TMEM132A,0.480471,NA,7.64E-01
CD5,-0.2094725,NA,8.90E-01
PGA3,-0.4593918,NA,7.18E-01
PGA4,0.9017432,NA,5.64E-01
VWCE,-1.0616852,NA,4.77E-01
DDB1,-1.0560877,NA,4.36E-01
TKFC,1.0791524,NA,4.29E-01
LOC105369331,-0.8460572,NA,6.47E-01
FADS2,-0.3496575,NA,7.80E-01
RAB3IL1,0.3028502,NA,8.36E-01
INCENP,-0.3745135,NA,8.22E-01
ASRGL1,-0.2092874,NA,9.27E-01
TUT1,-1.3825289,NA,3.76E-01
MTA2,-1.9722966,NA,2.43E-01
EML3,0.960182,NA,4.45E-01
WDR74,4.5188065,NA,7.80E-06
LOC105369333,0.7049755,NA,7.14E-01
SLC22A25,-0.1901621,NA,9.03E-01
ATL3,0.5200288,NA,7.59E-01
MARK2,0.3584645,NA,8.03E-01
NAA40,0.0408363,NA,9.83E-01
MACROD1,-1.4553087,NA,2.56E-01
FLRT1,0.6421244,NA,7.15E-01
STIP1,0.0294284,NA,9.87E-01
FERMT3,1.3252196,NA,3.25E-01
VEGFB,-1.3535314,NA,4.16E-01
PLCB3,-0.6530352,NA,5.65E-01
CCDC88B,0.7338486,NA,5.46E-01
RPS6KA4,-0.3585214,NA,8.32E-01
SLC22A11,0.6652063,NA,7.10E-01
SLC22A12,-1.3686836,NA,3.75E-01
NRXN2,-0.959664,NA,4.37E-01
PYGM,0.3061765,NA,8.45E-01
SF1,2.0236693,NA,2.62E-01
MAP4K2,0.4072974,NA,7.53E-01
MEN1,0.4919587,NA,7.81E-01
CDC42BPG,0.7945345,NA,5.54E-01
EHD1,0.1351965,NA,9.31E-01
MIR194-2HG,-0.2522755,NA,8.88E-01
ATG2A,0.1293768,NA,9.01E-01
PPP2R5B,-1.3852175,NA,2.35E-01
BATF2,1.3705312,NA,4.20E-01
SAC3D1,-1.237668,NA,4.91E-01
NAALADL1,-1.1676033,NA,3.87E-01
CDCA5,-1.0116558,NA,3.95E-01
TM7SF2,-0.2543955,NA,8.61E-01
CAPN1,1.2914549,NA,4.23E-01
POLA2,-0.7701391,NA,6.60E-01
DPF2,-0.0198587,NA,9.90E-01
SLC25A45,0.6207994,NA,6.56E-01
FRMD8,1.8174544,NA,2.36E-01
SCYL1,-0.7541765,NA,6.59E-01
LTBP3,0.0678749,NA,9.59E-01
EHBP1L1,0.9763514,NA,5.14E-01
MAP3K11,0.2014485,NA,8.94E-01
SIPA1,0.9510627,NA,5.18E-01
KAT5,-1.5574545,NA,3.51E-01
AP5B1,0.7455861,NA,6.26E-01
MUS81,0.6457749,NA,6.75E-01
SART1,2.1967802,NA,1.14E-01
CATSPER1,-2.0681331,NA,2.23E-01
SF3B2,-0.5996583,NA,7.67E-01
PACS1,-0.7861855,NA,5.96E-01
SLC29A2,-1.355009,NA,3.29E-01
MRPL11,0.1789105,NA,9.11E-01
DPP3,-0.860938,NA,5.99E-01
ZDHHC24,-2.3773639,NA,3.83E-02
ACTN3,1.4837661,NA,3.59E-01
RBM14,1.5799098,NA,3.48E-01
RBM4,-0.8166803,NA,6.34E-01
PC,0.3887688,NA,7.10E-01
SYT12,1.2068443,NA,3.95E-01
KDM2A,1.2913226,NA,3.81E-01
GRK2,0.217844,NA,8.59E-01
ANKRD13D,1.0598542,NA,5.40E-01
SSH3,-1.148382,NA,4.61E-01
TBC1D10C,1.0947163,NA,5.09E-01
CABP4,1.8237694,NA,2.86E-01
AIP,-0.72794,NA,7.11E-01
PITPNM1,0.4008964,NA,7.76E-01
NDUFV1,-0.6047035,NA,7.44E-01
ALDH3B1,1.2047613,NA,4.88E-01
TCIRG1,0.6226075,NA,4.95E-01
CHKA,0.5882043,NA,6.94E-01
LRP5,0.4210031,NA,7.28E-01
PPP6R3,0.6100056,NA,7.28E-01
IGHMBP2,0.1881896,NA,8.98E-01
TPCN2,0.4322583,NA,7.60E-01
LINC01488,-1.6063505,NA,2.53E-01
LTO1,-0.792921,NA,6.17E-01
FGF3,0.1460994,NA,9.35E-01
LOC105369371,0.152018,NA,9.26E-01
ANO1,-0.0929837,NA,9.58E-01
PPFIA1,-1.892209,NA,1.16E-01
SHANK2,0.7880774,NA,5.35E-01
NADSYN1,-0.4959272,NA,7.93E-01
RNF121,-3.0128901,NA,7.20E-02
IL18BP,1.1985808,NA,4.44E-01
NUMA1,0.9980255,NA,3.42E-01
LOC100128494,1.6722407,NA,2.93E-01
LRTOMT,-0.6689914,NA,6.64E-01
INPPL1,0.1105767,NA,9.37E-01
CLPB,-2.5595156,NA,3.76E-02
PDE2A,0.9169273,NA,4.83E-01
ATG16L2,0.1591841,NA,9.19E-01
P2RY6,-2.554307,NA,2.74E-02
ARHGEF17,0.0537953,NA,9.57E-01
RELT,2.588731,NA,1.33E-01
FAM168A,1.2203842,NA,4.52E-01
PLEKHB1,-0.1778124,NA,9.06E-01
PAAF1,-0.9609674,NA,5.78E-01
DNAJB13,-0.5217728,NA,7.50E-01
UCP2,1.7228152,NA,3.12E-01
UCP3,0.0350823,NA,9.85E-01
C2CD3,-0.4373323,NA,7.53E-01
PPME1,0.9025044,NA,6.26E-01
XRRA1,-2.521963,NA,5.97E-02
ARRB1,0.7143213,NA,6.49E-01
RPS3,1.3818529,NA,5.10E-01
GDPD5,-0.531971,NA,6.63E-01
LOC105369389,0.1886791,NA,8.83E-01
MAP6,0.3021086,NA,8.10E-01
WNT11,-0.3241104,NA,8.47E-01
GVQW3,-0.9885207,NA,3.53E-01
LINC02757,1.8626422,NA,2.88E-01
LRRC32,-2.1813847,NA,1.78E-01
GUCY2EP,1.7706376,NA,3.01E-01
TSKU,-0.1682693,NA,9.31E-01
ACER3,0.98362,NA,5.79E-01
CAPN5,-0.0798004,NA,9.51E-01
GDPD4,-1.6808767,NA,2.71E-01
PAK1,-1.1408713,NA,4.93E-01
KCTD21,-1.4114853,NA,3.86E-01
USP35,-0.2406551,NA,8.73E-01
GAB2,-0.7477237,NA,6.04E-01
RAB30,-0.6343596,NA,6.88E-01
DLG2,-0.7456879,NA,4.57E-01
SYTL2,1.3675125,NA,3.26E-01
PICALM,1.0983361,NA,5.33E-01
EED,-0.5065484,NA,7.66E-01
ME3,0.613876,NA,7.33E-01
ME3-DT,-2.1166493,NA,8.77E-02
FZD4,-1.3893859,NA,4.20E-01
C11orf54,-0.1470565,NA,9.39E-01
LOC105369435,-2.0485656,NA,1.68E-01
PIWIL4,-1.7130541,NA,3.36E-01
LINC02700,-2.2974089,NA,2.01E-01
AMOTL1,-1.3755628,NA,3.16E-01
SESN3,0.1519706,NA,9.29E-01
MTMR2,0.1515192,NA,9.33E-01
MAML2,0.3984743,NA,8.23E-01
ARHGAP42,-0.5041708,NA,6.79E-01
TRPC6,-2.2991081,NA,2.05E-01
DCUN1D5,-0.1129308,NA,9.43E-01
DYNC2H1,-1.5950515,NA,2.22E-01
LOC105369464,-1.9750234,NA,2.86E-01
GRIA4,-3.0331269,NA,5.17E-02
GUCY1A2,-0.8157961,NA,5.49E-01
CWF19L2,-0.171192,NA,9.21E-01
ALKBH8,-0.7076444,NA,6.75E-01
CUL5,-2.2351053,NA,1.35E-01
ATM,-0.3065555,NA,8.05E-01
EXPH5,-2.4186734,NA,6.15E-02
C11orf87,-1.3076148,NA,3.67E-01
ARHGAP20,-0.5135798,NA,7.35E-01
POU2AF1,-1.8688943,NA,2.36E-01
SIK2,-0.5335474,NA,7.51E-01
ALG9,0.4291189,NA,8.06E-01
DIXDC1,2.0049706,NA,1.38E-01
NCAM1,1.304191,NA,3.72E-01
ANKK1,-0.0587901,NA,9.70E-01
DRD2,0.6475015,NA,6.63E-01
TMPRSS5,-2.8235663,NA,5.92E-02
ZBTB16,0.4931871,NA,7.45E-01
CADM1,-0.4825736,NA,7.44E-01
LINC02703,-1.9773005,NA,1.92E-01
ZPR1,-0.1662716,NA,9.13E-01
SIK3,-2.6251654,NA,7.04E-02
PAFAH1B2,-0.6334302,NA,7.07E-01
SIDT2,-0.3484161,NA,8.29E-01
PCSK7,0.8484841,NA,5.47E-01
BACE1,0.9078549,NA,5.42E-01
CEP164,0.0977884,NA,9.43E-01
FXYD6,-0.4515285,NA,7.28E-01
SMIM35,-0.4326646,NA,7.46E-01
TMPRSS4,-0.7895836,NA,6.38E-01
SCN4B,2.8597066,NA,5.60E-02
SCN2B,-1.9419692,NA,2.23E-01
UBE4A,-0.9576269,NA,5.29E-01
KMT2A,-0.7037723,NA,5.22E-01
TMEM25,0.2524682,NA,8.94E-01
IFT46,-0.1499397,NA,9.25E-01
PHLDB1,0.3664755,NA,7.55E-01
DDX6,-0.5742079,NA,6.99E-01
BCL9L,0.4179385,NA,6.75E-01
HYOU1,0.6325517,NA,6.02E-01
VPS11,-0.4366848,NA,8.31E-01
C2CD2L,-0.3499636,NA,7.57E-01
ABCG4,0.6593421,NA,7.04E-01
NLRX1,-1.4044608,NA,3.72E-01
CBL,-1.4125853,NA,3.93E-01
MCAM,-0.9681558,NA,5.65E-01
C1QTNF5,0.3477085,NA,8.32E-01
MFRP,0.3477085,NA,8.32E-01
USP2,-0.4593207,NA,7.70E-01
LINC02744,-0.9801894,NA,5.52E-01
TRIM29,-0.2274865,NA,8.80E-01
LOC105369530,-1.7807793,NA,3.31E-01
OAF,-1.3018013,NA,5.13E-01
POU2F3,0.2833947,NA,8.64E-01
ARHGEF12,1.4722101,NA,1.90E-01
GRIK4,0.1390134,NA,9.19E-01
LOC107984400,-0.7692636,NA,5.99E-01
TECTA,0.2529671,NA,8.97E-01
SC5D,0.0683684,NA,9.71E-01
SORL1,0.865511,NA,4.59E-01
LOC105369535,-0.1545217,NA,9.06E-01
MIR100HG,0.5964854,NA,6.61E-01
UBASH3B,2.4736482,NA,8.15E-02
JHY,-1.3153714,NA,4.53E-01
GRAMD1B,-0.2671227,NA,8.07E-01
OR6T1,-0.6445012,NA,7.17E-01
VWA5A,-0.122963,NA,9.40E-01
MSANTD2,-0.6391583,NA,5.80E-01
